rank,previous_rank,ranking_country,ranking_category,brand,price_range,relative_demand,previous_relative_demand,rank_timestamp,product_title
1,1,US,538,WildBird,84-84 USD,51-100 Very high,51-100 Very high,2025-07-11,Wildbird Aerial Buckle Wrap
2,2,US,538,Ergobaby,135-180 USD,51-100 Very high,51-100 Very high,2025-07-11,Ergobaby Omni 360 Baby Carrier
3,5,US,538,,129-129 USD,51-100 Very high,51-100 Very high,2025-07-11,The Monarch Carrier - Houndstooth
4,3,US,538,BabyBjörn,73-110 USD,51-100 Very high,51-100 Very high,2025-07-11,BabyBjorn Baby Carrier Mini
5,12,US,538,TushBaby,83-89 USD,51-100 Very high,21-50 High,2025-07-11,Tushbaby The Snug Attachment
6,6,US,538,Ergobaby,65-100 USD,51-100 Very high,51-100 Very high,2025-07-11,Ergobaby Embrace Carrier
7,8,US,538,Momcozy,60-80 USD,21-50 High,51-100 Very high,2025-07-11,"Momcozy Baby Carrier Toddler, Ergonomic and Lightweight"
8,7,US,538,WildBird,178-178 USD,21-50 High,51-100 Very high,2025-07-11,Wildbird Aerial Carrier
9,4,US,538,Infantino,20-43 USD,21-50 High,51-100 Very high,2025-07-11,Infantino Flip 4-in-1 Convertible Carrier
10,9,US,538,,49-49 USD,21-50 High,21-50 High,2025-07-11,"Senarah | Toddler Carrier - Mint Color - Lightweight, Ergonomic Design, Travel-Friendly (9M-4Y, Up to 45 lbs) - 1 Year Warranty"
11,11,US,538,TushBaby,78-115 USD,21-50 High,21-50 High,2025-07-11,Tushbaby Hip Carrier Baby Carrier Seat for 0–3 Years
12,10,US,538,WildBird,68-70 USD,21-50 High,21-50 High,2025-07-11,WildBird Linen Sling
13,24,US,538,Deuter,168-168 USD,21-50 High,11-20 Medium,2025-07-11,Deuter Kid Comfort Venture
14,13,US,538,Momcozy,50-50 USD,21-50 High,21-50 High,2025-07-11,Momcozy Wander360 Hip Seat Carrier
15,30,US,538,Momcozy,34-34 USD,21-50 High,11-20 Medium,2025-07-11,Momcozy Baby Wrap Carrier
16,15,US,538,,22-30 USD,21-50 High,21-50 High,2025-07-11,KeaBabies Original Baby Wrap Carrier
17,17,US,538,LÍLLÉbaby,70-120 USD,21-50 High,21-50 High,2025-07-11,LILLEbaby Complete All Seasons Baby Carrier
18,16,US,538,MOBY,60-60 USD,21-50 High,21-50 High,2025-07-11,Moby Duet Carrier
19,225,US,538,MOBY,45-50 USD,21-50 High,0-5 Very low,2025-07-11,Moby Evolution Wrap
20,18,US,538,Osprey,45-370 USD,21-50 High,21-50 High,2025-07-11,Osprey Poco Child Carrier
