rank,previous_rank,ranking_country,ranking_category,brand,price_range,relative_demand,previous_relative_demand,rank_timestamp,product_title
1,5,US,166,Bogg Bags,62-150 USD,51-100 Very high,51-100 Very high,2025-07-11,BOGG BAG ORIGINAL
2,1,US,166,New Balance,87-246 USD,51-100 Very high,51-100 Very high,2025-07-11,New Balance Men's 9060
3,6,US,166,Birkenstock,30-80 USD,51-100 Very high,51-100 Very high,2025-07-11,Arizona EVA Birkenstock
4,7,US,166,Hoka One One,105-155 USD,51-100 Very high,51-100 Very high,2025-07-11,Hoka Women's Clifton 10
5,3,US,166,Apple,279-800 USD,51-100 Very high,51-100 Very high,2025-07-11,Apple Watch Series 10 Aluminum Case Sport
6,,US,166,Apple,,51-100 Very high,,2025-07-11,Apple Watch SE
7,2,US,166,Nike,74-186 USD,51-100 Very high,51-100 Very high,2025-07-11,Nike Women's Zoom Vomero 5
8,4,US,166,Birkenstock,50-155 USD,51-100 Very high,51-100 Very high,2025-07-11,Arizona Birkenstock
9,19,US,166,Nike,27-123 USD,51-100 Very high,21-50 High,2025-07-11,Nike Kids' Dunk Low
10,8,US,166,New Balance,70-120 USD,51-100 Very high,51-100 Very high,2025-07-11,New Balance Women's 327
11,9,US,166,Crocs,20-55 USD,51-100 Very high,51-100 Very high,2025-07-11,Crocs Classic Clog
12,15,US,166,Nike,39-90 USD,51-100 Very high,21-50 High,2025-07-11,Nike Kids' Dunk Low
13,25,US,166,Nike,65-121 USD,51-100 Very high,21-50 High,2025-07-11,Nike Men's Air Force 1 07
14,20,US,166,Nike,31-55 USD,51-100 Very high,21-50 High,2025-07-11,Nike Men's Calm Slide
15,13,US,166,lululemon,34-49 USD,51-100 Very high,21-50 High,2025-07-11,lululemon Women's Align High-Rise Short 6
16,14,US,166,lululemon,119-198 USD,51-100 Very high,21-50 High,2025-07-11,Lululemon Women's Define Cropped Jacket Nulu
17,24,US,166,Nike,60-135 USD,51-100 Very high,21-50 High,2025-07-11,Nike Men's Free Metcon 6
18,98,US,166,lululemon,49-79 USD,51-100 Very high,11-20 Medium,2025-07-11,lululemon Women's Align High-Rise Pant
19,129,US,166,ASICS,69-280 USD,51-100 Very high,11-20 Medium,2025-07-11,Asics Men's Gel-1130
20,31,US,166,Athleta,49-63 USD,21-50 High,21-50 High,2025-07-11,Athleta Women's Retreat Linen High Rise Wide Leg Pant
21,26,US,166,New Balance,70-152 USD,21-50 High,21-50 High,2025-07-11,New Balance 530
22,,US,166,Birkenstock,,21-50 High,,2025-07-11,Birkenstock Boston Soft Footbed Suede
23,10,US,166,Quince,40-50 USD,21-50 High,51-100 Very high,2025-07-11,Women's Quince 100% European Linen Wide Leg Pants
24,68,US,166,Hoka One One,89-190 USD,21-50 High,21-50 High,2025-07-11,Hoka Women's Clifton 9
25,46,US,166,lululemon,128-128 USD,21-50 High,21-50 High,2025-07-11,Lululemon Women's Define Jacket
26,16,US,166,Hoka One One,105-220 USD,21-50 High,21-50 High,2025-07-11,Hoka Women's Bondi 9
27,34,US,166,Nike,24-67 USD,21-50 High,21-50 High,2025-07-11,Nike Kids' Court Borough Low Recraft
28,197,US,166,Avia,20-25 USD,21-50 High,11-20 Medium,2025-07-11,Avia Women's 5000 Performance Sneakers
29,29,US,166,Old Navy,20-28 USD,21-50 High,21-50 High,2025-07-11,Old Navy Women's High-Waisted Crinkle Gauze Super Wide-Leg Pants
30,17,US,166,Converse,23-78 USD,21-50 High,21-50 High,2025-07-11,Converse Chuck Taylor All Star
31,59,US,166,adidas,41-142 USD,21-50 High,21-50 High,2025-07-11,Adidas Men's Samba OG White
32,45,US,166,Nike,64-90 USD,21-50 High,21-50 High,2025-07-11,Nike Women's V5 RNR
33,411,US,166,Old Navy,5-7 USD,21-50 High,6-10 Low,2025-07-11,Old Navy Kids' School Uniform Jersey-Knit Polo Shirt
34,18,US,166,halara,35-60 USD,21-50 High,21-50 High,2025-07-11,halara Softlyzero Plush Backless Active Dress
35,33,US,166,Nike,59-90 USD,21-50 High,21-50 High,2025-07-11,Nike Men's V5 RNR
36,35,US,166,adidas,41-142 USD,21-50 High,21-50 High,2025-07-11,Adidas Men's Samba OG White
37,69,US,166,On,70-180 USD,21-50 High,21-50 High,2025-07-11,On Women's Cloud 5
38,40,US,166,True Classic,15-180 USD,21-50 High,21-50 High,2025-07-11,Men's Crew True Classic
39,,US,166,,50-50 USD,21-50 High,,2025-07-11,Lorax Pro Healthy & non-slip barefoot shoes
40,81,US,166,adidas,30-80 USD,21-50 High,21-50 High,2025-07-11,adidas Kids Samba OG
41,28,US,166,lululemon,39-49 USD,21-50 High,21-50 High,2025-07-11,lululemon Women's Hotty Hot High Rise Lined Short 2.5
42,77,US,166,Vans,27-65 USD,21-50 High,21-50 High,2025-07-11,Vans Men's Classic-Slip-On
43,22,US,166,Hoka One One,80-147 USD,21-50 High,21-50 High,2025-07-11,Women's Hoka Arahi 7
44,58,US,166,Nike,150-176 USD,21-50 High,21-50 High,2025-07-11,Women's Nike Vomero 18
45,74,US,166,Coach,199-199 USD,21-50 High,21-50 High,2025-07-11,Coach Outlet Teri Shoulder Bag In Signature Canvas Women's
46,72,US,166,Nike,64-219 USD,21-50 High,21-50 High,2025-07-11,Nike Men's Zoom Vomero 5
47,30,US,166,Crocs,20-40 USD,21-50 High,21-50 High,2025-07-11,Crocs Kids Classic Clog
48,36,US,166,Crocs,30-45 USD,21-50 High,21-50 High,2025-07-11,Crocs Women's Miami Toe Loop Sandal
49,56,US,166,Nike,64-135 USD,21-50 High,21-50 High,2025-07-11,Nike Women's Free Metcon 6
50,43,US,166,Nike,49-134 USD,21-50 High,21-50 High,2025-07-11,Nike Kids' Vomero 5 Shoes
51,149,US,166,lululemon,39-68 USD,21-50 High,11-20 Medium,2025-07-11,lululemon Men's Pace Breaker Linerless Short 7
52,71,US,166,lululemon,39-49 USD,21-50 High,21-50 High,2025-07-11,lululemon Women's Shake It Out High Rise Running Short 2.5
53,67,US,166,Coach,119-269 USD,21-50 High,21-50 High,2025-07-11,Coach Nolita 19 In Signature Canvas Women's
54,39,US,166,Archies Footwear,25-40 USD,21-50 High,21-50 High,2025-07-11,Archies Arch Support Flip Flops
55,61,US,166,Nike,54-135 USD,21-50 High,21-50 High,2025-07-11,Nike Women's Dunk Low
56,164,US,166,PUMA,75-100 USD,21-50 High,11-20 Medium,2025-07-11,Puma Men's Speedcat OG
57,51,US,166,Nike,70-145 USD,21-50 High,21-50 High,2025-07-11,Nike Men's Air Max 90
58,87,US,166,Old Navy,13-25 USD,21-50 High,21-50 High,2025-07-11,Old Navy Crochet Tank Top and Shorts Set for Baby
59,64,US,166,Nike,56-166 USD,21-50 High,21-50 High,2025-07-11,Men's Air Jordan 1 Low
60,47,US,166,lululemon,78-78 USD,21-50 High,21-50 High,2025-07-11,lululemon Everywhere Crossbody Bag 2L Metal Hardware
61,41,US,166,Universal Thread,5-6 USD,21-50 High,21-50 High,2025-07-11,Women's Universal Thread Short Sleeve Graphic T-Shirt
62,143,US,166,Longchamp,120-165 USD,21-50 High,11-20 Medium,2025-07-11,Longchamp Le Pliage Tote Bag
63,42,US,166,Nike,54-284 USD,21-50 High,21-50 High,2025-07-11,Nike Men's P-6000
64,60,US,166,Nike,100-170 USD,21-50 High,21-50 High,2025-07-11,Men's Nike Vomero 18
65,84,US,166,Nike,69-241 USD,21-50 High,21-50 High,2025-07-11,Nike Women's Air Max 270
66,202,US,166,Nike,84-170 USD,21-50 High,11-20 Medium,2025-07-11,Nike Women's Zoom Vomero 5
67,79,US,166,Pact,10-10 USD,21-50 High,21-50 High,2025-07-11,Women's Pact Organic Cotton Cool Stretch Fitted Lounge Tank
68,168,US,166,Old Navy,,21-50 High,11-20 Medium,2025-07-11,Old Navy Women's The Occasion Twist-Front Maxi Dress
69,18511,US,166,adidas,90-100 USD,21-50 High,0-5 Very low,2025-07-11,Adidas Women's Samba OG
70,37,US,166,Crocs,25-50 USD,21-50 High,21-50 High,2025-07-11,Crocs Adult Unisex Baya Clog
