rank,previous_rank,ranking_country,ranking_category,brand,price_range,relative_demand,previous_relative_demand,rank_timestamp,product_title
1,1,US,1239,Funko,20-46 USD,51-100 Very high,51-100 Very high,2025-07-11,Pop Mart THE MONSTERS Labubu Exciting Macaron Vinyl Face Blind Box
2,3,US,1239,LEGO,125-169 USD,51-100 Very high,21-50 High,2025-07-11,Kids' Nike Unisex Dunk x LEGO Set Sneaker-building Kit with Exclusive Minifigure MRMW43-008
3,,US,1239,Mystery,,21-50 High,,2025-07-11,Big Into Energy Labubu Monster Blind Single Box
4,,US,1239,Wizards of the Coast,,21-50 High,,2025-07-11,Magic The Gathering Final Fantasy Commander Deck
5,25,US,1239,LEGO,70-70 USD,21-50 High,6-10 Low,2025-07-11,LEGO How to Train Your Dragon: Toothless
6,4,US,1239,Mystery,20-54 USD,21-50 High,21-50 High,2025-07-11,Labubu The Monsters Big Into Energy Pop Mart Single Blind Box
7,,US,1239,,,21-50 High,,2025-07-11,New Nex Playground Active Play System for Kids & Families
8,44,US,1239,Hot Toys,28-42 USD,21-50 High,6-10 Low,2025-07-11,Pop Mart Labubu THE MONSTERS Have a Seat Vinyl Plush Blind Box
9,53,US,1239,LEGO,28-60 USD,21-50 High,0-5 Very low,2025-07-11,LEGO Disney Up House
10,12,US,1239,Nintendo,103-208 USD,21-50 High,11-20 Medium,2025-07-11,Pokemon Scarlet & Violet Prismatic Evolutions Elite Trainer Box
11,6,US,1239,Wizards of the Coast,66-250 USD,21-50 High,21-50 High,2025-07-11,Magic The Gathering Final Fantasy Play Booster
12,5,US,1239,Blitzball,15-15 USD,21-50 High,21-50 High,2025-07-11,Blitzball Torpedo Bat and Ball Combo
13,11,US,1239,Jellycat,13-300 USD,11-20 Medium,11-20 Medium,2025-07-11,Bashful Bunny Jellycat
14,18,US,1239,Funko,40-40 USD,11-20 Medium,11-20 Medium,2025-07-11,Pop! Yourself Create Your Own Personalized Funko Pop
15,9,US,1239,Wizards of the Coast,153-195 USD,11-20 Medium,11-20 Medium,2025-07-11,Magic The Gathering Final Fantasy Gift Bundle
