rank,previous_rank,ranking_country,ranking_category,brand,price_range,relative_demand,previous_relative_demand,rank_timestamp,product_title
1,1,US,1420,Bose,34-34 USD,51-100 Very high,51-100 Very high,2025-07-11,Bose QuietComfort 35 Headphones Ear Cushion Kit
2,2,US,1420,Bose,34-34 USD,51-100 Very high,51-100 Very high,2025-07-11,Bose Ear Cushion Kit for Headphones 700 Noise-Cancelling Bluetooth Headphones 834167-0300
3,3,US,1420,,4-5 USD,51-100 Very high,51-100 Very high,2025-07-11,"4 Pairs Replacement Ear Tips for AirPods Pro 2nd/1st Generation with Portable Storage Box & Cleaner Pen,Noise Reduction Holewith & Built-in dust"
4,4,US,1420,,9-9 USD,51-100 Very high,51-100 Very high,2025-07-11,iWorld Bluetooth Audio Car Kit
5,5,US,1420,Bose,29-34 USD,51-100 Very high,51-100 Very high,2025-07-11,Bose Ear Cushion Kit for QuietComfort 45 Headphones
6,11,US,1420,,11-12 USD,51-100 Very high,21-50 High,2025-07-11,Familycrazy Bose Headphones Replacement Ear Pads for QuietComfort QC35/35ii/25/2/15 Ear Cushions for QC35 QC35ii QC25 QC2 QC15 Ae2 Ae2i Ae2w Sound True
7,8,US,1420,,9-10 USD,21-50 High,21-50 High,2025-07-11,YangBu Replacement for Beats Studio 3 Replacement Ear Pads Grey
8,25,US,1420,,5-5 USD,21-50 High,11-20 Medium,2025-07-11,"3-Pairs Replacement Ear Tips for AirPods Pro 2nd/1st Generation with Noise Reduction Hole, Non-Slip Soft Silicone Earbuds for AirPods Pro 2 /1st"
9,6,US,1420,Apple,10-10 USD,21-50 High,21-50 High,2025-07-11,heyday Apple AirPods Pro Gen White 1/2 Silicone Tips
10,,US,1420,,,21-50 High,,2025-07-11,Pop Mart Labubu THE MONSTERS Wacky Mart Series Earphone Case
11,,US,1420,,,21-50 High,,2025-07-11,"Replacement Ear Pads for Skullcandy Crusher Wireless/Evo/ANC Hesh 3/EVO/ANC, Headphones Earpad Cushions, Headset Ear Covers Also Fit Skullcandy"
12,12,US,1420,Bose,10-99 USD,21-50 High,21-50 High,2025-07-11,Bose Alternate Sizing Kit for QuietComfort Earbuds II
13,9,US,1420,,9-9 USD,21-50 High,21-50 High,2025-07-11,WuneYea Replacement Earpads for Bose QC35 Replacement Ear Pads
14,290,US,1420,,24-24 USD,21-50 High,0-5 Very low,2025-07-11,JLFXINC Replacement Charging Case for AirPods Pro 1st/2nd Generation
15,39,US,1420,Apple,10-10 USD,21-50 High,11-20 Medium,2025-07-11,Apple AirPods 4 Silicone Case
16,7,US,1420,,6-7 USD,21-50 High,21-50 High,2025-07-11,"Replacement Ear Tips for AirPods Pro with Noise Reduction Hole, Silicone Earbuds Tips Fit in The Charging Case"
17,14,US,1420,,15-18 USD,21-50 High,21-50 High,2025-07-11,Premium Replacement Ear Pads for Bose QC35 & QC35ii Headphones Made by GEVO- Comfortable Adaptive Memory Foam and Extra Durable - Fits QuietComfort
18,20,US,1420,,9-11 USD,21-50 High,11-20 Medium,2025-07-11,"JXTZ Aux Bluetooth 5.3 Adapter for Car, 2 in 1 Wireless Bluetooth Transmitter and Receiver for Headphones Car Home Audio Speaker, Portable 3.5mm"
19,17,US,1420,Beats,14-14 USD,21-50 High,21-50 High,2025-07-11,SoloWIT Earpads Cushions Replacement for Beats Solo 2 & Solo 3 Wireless On-Ear Headphones
20,18,US,1420,audio-technica,31-36 USD,11-20 Medium,11-20 Medium,2025-07-11,Audio Technica ATN3600L Replacement Stylus
21,16,US,1420,Wicked Cushions,19-29 USD,11-20 Medium,21-50 High,2025-07-11,Bose QC35 Replacement Ear Pads by Wicked Cushions
22,21,US,1420,Apple,6-6 USD,11-20 Medium,11-20 Medium,2025-07-11,Dealworthy Airpods
23,24,US,1420,,20-28 USD,11-20 Medium,11-20 Medium,2025-07-11,"ELIVED Soundbar Mount, Sound Bar TV Bracket, for Mounting Above or Under TV"
24,,US,1420,GARMIN,,11-20 Medium,,2025-07-11,JL Audio Bluetooth Receiver
25,30,US,1420,,10-10 USD,11-20 Medium,11-20 Medium,2025-07-11,1 Pair Headphone Earmuff Cover for Worktunes Connect Hearing Breathable Earphone Sleeve Replacement
26,15,US,1420,Ugreen,15-18 USD,11-20 Medium,21-50 High,2025-07-11,UGREEN Bluetooth 5.0 Transmitter and Receiver
27,37,US,1420,Apple,9-10 USD,11-20 Medium,11-20 Medium,2025-07-11,"ICARERSPACE AirPods Ear Hooks Compatible with AirPods 1 2, 3 4, Pro &Pro 2"
28,27,US,1420,,30-30 USD,11-20 Medium,11-20 Medium,2025-07-11,Charger Case for Airpod 3rd Generation Charging Case with Magsafe Replacement Charging Case for Airpods Gen 3 Support to Wireless Sync Pairing
29,22,US,1420,Anker,40-41 USD,11-20 Medium,11-20 Medium,2025-07-11,Anker Soundsync A3352 Bluetooth Receiver for Music Streaming with Bluetooth 5.0
30,1118,US,1420,,27-27 USD,11-20 Medium,0-5 Very low,2025-07-11,Replacement Charging Case for Airpod 1st 2nd Charging Case
31,47,US,1420,,5-6 USD,11-20 Medium,11-20 Medium,2025-07-11,Replacement Eartips Compatible with Powerbeats Pro Wireless Earphone Headphones Soft Silicone Earbuds Tips Buds Set
32,31,US,1420,,20-25 USD,11-20 Medium,11-20 Medium,2025-07-11,"Premium Replacement Ear Cushions for Apple AirPods Max Headphone, Protein Leather Memory Foam Earpads with Excellent Noise Isolation (Black)"
33,36,US,1420,,10-10 USD,11-20 Medium,11-20 Medium,2025-07-11,"[2 Pairs] DamonLight Ear Hooks for AirPods Pro 2 & 1, AirPods 4 & 3 & 2 & 1, Airpod Ear Hook, Anti-Slip Comfortable Fit, Ergonomic Design, AirPods"
34,57,US,1420,,6-10 USD,11-20 Medium,6-10 Low,2025-07-11,Earpads Cushions Replacement Ear Pads for Beats Solo 2 Solo 3 Wireless Headphone Earpads
35,53,US,1420,,37-37 USD,11-20 Medium,11-20 Medium,2025-07-11,"Wireless Charging Case Compatible with AirPods 4th Generation, USB-C Port Airpods 4 Charging Case Replacement, No Earbuds"
36,60,US,1420,,8-8 USD,11-20 Medium,6-10 Low,2025-07-11,"MULTAICH Magnetic Anti-Lost Straps for AirPods,Colorful Soft Silicone Sports Lanyard"
37,59,US,1420,,,11-20 Medium,6-10 Low,2025-07-11,JacobsParts Inc. Wireless Bluetooth Receiver 3.5mm AUX Audio Stereo Music Home Car Adapter Kit
38,51,US,1420,,6-6 USD,11-20 Medium,11-20 Medium,2025-07-11,3pcs Record Player Needle Turntable Replacement Needle Long Lasting Record Player Needle Replacement Diamond Stylus Rep
39,64,US,1420,Logitech,40-40 USD,11-20 Medium,6-10 Low,2025-07-11,Logitech Bluetooth Audio Adapter 980-000910
40,26,US,1420,Sonos,79-80 USD,11-20 Medium,11-20 Medium,2025-07-11,Sonos Arc Ultra Wall Mount
41,43,US,1420,SANUS,130-130 USD,11-20 Medium,11-20 Medium,2025-07-11,Sanus Sonos Arc and Sonos Arc Ultra Extendable Soundbar TV Mount
42,44,US,1420,,5-5 USD,11-20 Medium,11-20 Medium,2025-07-11,Bluetooth Adapter Wireless Audio Receiver With Mic
43,70,US,1420,Elgato,70-180 USD,6-10 Low,6-10 Low,2025-07-11,Elgato Wave Mic Arm LP
44,45,US,1420,RØDE,29-29 USD,6-10 Low,11-20 Medium,2025-07-11,Rode Interview GO Handheld Adapter for Wireless GO
45,,US,1420,RØDE,,6-10 Low,,2025-07-11,Rode PSA1+ Professional Studio Arm
46,135,US,1420,D'Addario,100-100 USD,6-10 Low,6-10 Low,2025-07-11,D'Addario PW-IRMM-01 Mic Mute Infrared Microphone Sensor
47,90,US,1420,,17-17 USD,6-10 Low,6-10 Low,2025-07-11,Cypher.V Replacement Ear Pads Cushions Earpads Cover for Bose 700 Noise-Cancelling NC700 Over Ear Headphones
48,42,US,1420,,20-20 USD,6-10 Low,11-20 Medium,2025-07-11,Premier Bluetooth Auxiliary Receiver at AutoZone
49,74,US,1420,,20-20 USD,6-10 Low,6-10 Low,2025-07-11,"HomeMount TV Cord Hider Kit- Wire Hider Kit for Wall Mount TV, Cable Management Kit Hides TV Wires Behind The Wall(White)"
50,40,US,1420,,27-27 USD,6-10 Low,11-20 Medium,2025-07-11,Complete 2500W Gravity 4 Gauge Amplifier Installation Wiring Kit Amp Pk2 4 Ga Red
51,129,US,1420,Bose,23-24 USD,6-10 Low,6-10 Low,2025-07-11,Bose QuietComfort Earbuds Silicone Case Cover Protective Silicone Exterior
52,58,US,1420,,22-22 USD,6-10 Low,6-10 Low,2025-07-11,BLACKHORSE Bluetooth 5.2 Receiver for Stereo System AUX Bluetooth Adapter Jack 3.5
53,156,US,1420,Nomad,23-29 USD,6-10 Low,6-10 Low,2025-07-11,Nomad Modern Leather Case
54,66,US,1420,,9-9 USD,6-10 Low,6-10 Low,2025-07-11,[5 Pairs] for AirPods 4 Ear Tips Covers Sport Anti Slip Anti Scratche Skin Soft Silicone Eartip AirPods 4 Gen Earbuds Accessories Compatible with
55,49,US,1420,Bose,9-9 USD,6-10 Low,11-20 Medium,2025-07-11,Bose StayHear Max tips
56,65,US,1420,Sonos,29-29 USD,6-10 Low,6-10 Low,2025-07-11,Sonos Move Speaker Wall Hook
57,46,US,1420,Bose,40-50 USD,6-10 Low,11-20 Medium,2025-07-11,Bose A20 Headset Accessory Refresh Kit
58,54,US,1420,,23-23 USD,6-10 Low,6-10 Low,2025-07-11,Behringer MS2050-L Professional Tripod Microphone Stand with 27 Boom
59,,US,1420,,8-8 USD,6-10 Low,,2025-07-11,Everbilt 6 in. Square Lazy-Susan Turntable with 400 lb. Load Rating
60,75,US,1420,Wicked Cushions,31-34 USD,6-10 Low,6-10 Low,2025-07-11,Arctis Nova Pro Wireless Earpads WC Freeze Cooling Gel
61,41,US,1420,Celestion,135-152 USD,6-10 Low,11-20 Medium,2025-07-11,Celestion Vintage 30 Guitar Speaker
62,62,US,1420,,14-14 USD,6-10 Low,6-10 Low,2025-07-11,"Upgraded Replacement Earpads Cushions for HyperX Cloud/Alpha, Audio Technica M50X/M40X, Turtle Beach Stealth 400/600 & More - Ear Pads with"
63,48,US,1420,Bose,15-30 USD,6-10 Low,11-20 Medium,2025-07-11,Bose A20 Headset Ear Cushions
64,553,US,1420,Comply,14-30 USD,6-10 Low,0-5 Very low,2025-07-11,Comply TrueGrip MAX Premium Memory Foam Replacement Earbud Tips for Apple AirPods Pro 1 & 2
65,98,US,1420,,46-46 USD,6-10 Low,6-10 Low,2025-07-11,"Max Air Pro 2 Maxs bluetooth headphones flipkart with ANC, Metal Material, Waterproof Case, Protective Headphone Travel Case - R250325"
66,,US,1420,,,6-10 Low,,2025-07-11,"esinkin Bluetooth Audio Adapter for Music Streaming Sound System, Wireless Audio Adapter Works with Smartphones and Tablets, Bluetooth Receiver for"
67,,US,1420,,,6-10 Low,,2025-07-11,Commercial Electric Swivel and Tilt Satellite Speaker Wall Mount
68,78,US,1420,,16-16 USD,6-10 Low,6-10 Low,2025-07-11,AHG Accessory House Global SoundLink AE2 Ear Pads and SoundLink AE2 Headband Cushion Compatible with Bose SoundLink Around-Ear 2 Headphones
