rank,previous_rank,ranking_country,ranking_category,brand,price_range,relative_demand,previous_relative_demand,rank_timestamp,product_title
1,1,US,1,The Farmer’s Dog,14-14 USD,51-100 Very high,51-100 Very high,2025-07-11,The Farmer's Dog - Best Fresh Dog Food
2,2,US,1,Zoetis,43-43 USD,51-100 Very high,51-100 Very high,2025-07-11,Simparica Trio 44.1-88 lbs Month Supply
3,3,US,1,The Farmer’s Dog,2-2 USD,51-100 Very high,51-100 Very high,2025-07-11,"Fresh, Healthy Daily Meals For Dogs"
4,4,US,1,NexGard,35-35 USD,51-100 Very high,51-100 Very high,2025-07-11,NexGard Chewables for Dogs 60.1-121 lbs
5,6,US,1,Amoxicillin,5-17 USD,51-100 Very high,21-50 High,2025-07-11,Amoxicillin Capsules for Dogs & Cats
6,5,US,1,ThunderShirt,32-65 USD,51-100 Very high,21-50 High,2025-07-11,ThunderShirt for Dogs
7,7,US,1,Purina,21-95 USD,21-50 High,21-50 High,2025-07-11,Purina Pro Plan Sensitive Skin & Stomach Salmon & Rice Dog Food
8,22,US,1,Sundays For Dogs,27-27 USD,21-50 High,21-50 High,2025-07-11,Air-Dried Dog Food — Recipe — —
9,8,US,1,PrettyLitter,24-28 USD,21-50 High,21-50 High,2025-07-11,Prettylitter Cat Litter
10,10,US,1,,25-170 USD,21-50 High,21-50 High,2025-07-11,Top Paw Single Door Folding Wire Dog Crate
11,13,US,1,Amoxicillin,9-36 USD,21-50 High,21-50 High,2025-07-11,Amoxicillin Capsules for Dogs & Cats
12,12,US,1,Zoetis,35-136 USD,21-50 High,21-50 High,2025-07-11,Revolution Plus for Cats
13,,US,1,Whisker,,21-50 High,,2025-07-11,Litter-Robot 4
14,15,US,1,,117-212 USD,21-50 High,21-50 High,2025-07-11,Simparica Trio Chewable Tablets for Dogs 44.1-88 lbs
15,18,US,1,NexGard,47-225 USD,21-50 High,21-50 High,2025-07-11,NexGard Plus Chewables for Dogs
16,14,US,1,VetOne,10-23 USD,21-50 High,21-50 High,2025-07-11,GenOne Topical Spray
17,11,US,1,,11-32 USD,21-50 High,21-50 High,2025-07-11,Animax Ointment
18,16,US,1,Dog Is Human,46-58 USD,21-50 High,21-50 High,2025-07-11,Daily Multivitamin for Dogs
19,19,US,1,Pawfy,30-35 USD,21-50 High,21-50 High,2025-07-11,Pawfy Allergy & Immune For Dogs
20,21,US,1,Credelio,23-118 USD,21-50 High,21-50 High,2025-07-11,Credelio for Cats
21,24,US,1,Carprofen,16-47 USD,21-50 High,21-50 High,2025-07-11,Carprofen Flavored Tablets for Dogs
22,20,US,1,wagwear,40-55 USD,21-50 High,21-50 High,2025-07-11,Madewell Wagwear WagWellies Mojave Dog Boots in Pink - Size Xxs
23,36,US,1,,11-11 USD,21-50 High,21-50 High,2025-07-11,Generic (brand may vary) Neomycin-Polymyxin B Sulfates-Bacitracin Zinc Ophthalmic by Generic
24,23,US,1,Drontal,6-6 USD,21-50 High,21-50 High,2025-07-11,"Drontal Tablets for Cats, 2-16 lbs, 1 tablet, 18.2 mg Praziquantel and 72.6 mg Pyrantel base as Pyrantel Pamoate"
25,26,US,1,Bayer,16-18 USD,21-50 High,21-50 High,2025-07-11,Tapeworm Dewormer for Cats
26,25,US,1,Happy Hoodie,10-22 USD,21-50 High,21-50 High,2025-07-11,Happy Hoodie Black
27,17,US,1,,38-38 USD,21-50 High,21-50 High,2025-07-11,"Simparica Trio Chewable Tablet for Dogs, 11.1-22.0 lbs, 1 Chewable Tablet (1-mo. supply)"
28,28,US,1,Boehringer Ingelheim,28-99 USD,21-50 High,21-50 High,2025-07-11,Frontline Plus for Cats
29,27,US,1,Purina,10-60 USD,21-50 High,21-50 High,2025-07-11,Purina ONE SmartBlend Chicken & Rice Formula Dry Dog Food
30,167,US,1,,5-9 USD,21-50 High,6-10 Low,2025-07-11,"Pet Hair Removal Glove for Cats & Dogs, 2025 Upgrade Pet Hair Remover Glove, Electrostatic Pet Hair Removal Gloves for Dogs and Cats, Reusable Pet"
31,34,US,1,Sulfodene,10-14 USD,21-50 High,21-50 High,2025-07-11,Sulfodene 3-Way Ointment for Dogs
32,29,US,1,,11-11 USD,21-50 High,21-50 High,2025-07-11,"Amoxi-Drop Oral Suspension for Dogs & Cats, 50-mg, 15-mL"
33,37,US,1,Bayer,45-109 USD,21-50 High,21-50 High,2025-07-11,Seresto Flea & Tick Collar for Large Dogs
34,31,US,1,,16-16 USD,21-50 High,21-50 High,2025-07-11,Fresh Dried Dog Food | Beef + Barley UnKibble Recipe
35,45,US,1,Purina,17-182 USD,21-50 High,11-20 Medium,2025-07-11,Purina Pro Plan FortiFlora
36,33,US,1,Petlab Co.,29-30 USD,21-50 High,21-50 High,2025-07-11,PetLab Co. Allergy & Immune Daily Probiotics for Dogs. Supports Yeast Production
37,40,US,1,bravecto,81-81 USD,21-50 High,11-20 Medium,2025-07-11,Bravecto Chews 1000mg
38,39,US,1,The Farmer’s Dog,2-2 USD,21-50 High,11-20 Medium,2025-07-11,The Farmer's Dog - Small Dog Trial Box
39,70,US,1,NexGard,34-34 USD,21-50 High,11-20 Medium,2025-07-11,NexGard Chew for Medium Dogs
40,32,US,1,,40-70 USD,21-50 High,21-50 High,2025-07-11,Bousnic Remote Waterproof Dog Training Collar
41,,US,1,ZYMOX,,21-50 High,,2025-07-11,Zymox Ear Solution with Hydrocortisone
42,38,US,1,PetArmor,6-7 USD,21-50 High,21-50 High,2025-07-11,PetArmor Antihistamine Tablets for Dogs
43,42,US,1,Boehringer Ingelheim,84-146 USD,11-20 Medium,11-20 Medium,2025-07-11,Heartgard Plus Chewables for Dogs
44,138,US,1,Royal Canin,13-151 USD,11-20 Medium,11-20 Medium,2025-07-11,Royal Canin Gastro-Intestinal Low Fat Dog 12 x 410g
45,49,US,1,NexGard,96-174 USD,11-20 Medium,11-20 Medium,2025-07-11,NexGard Combo Topical for Cats
46,56,US,1,Boehringer Ingelheim,28-97 USD,11-20 Medium,11-20 Medium,2025-07-11,Frontline Plus for Dogs
47,1646,US,1,badlands ranch,36-108 USD,11-20 Medium,0-5 Very low,2025-07-11,Badlands Ranch Superfood Complete Air-Dried Dog Food Beef
48,,US,1,Zoetis,,11-20 Medium,,2025-07-11,Apoquel Chewable
49,47,US,1,VET'S BEST,14-17 USD,11-20 Medium,11-20 Medium,2025-07-11,Vet's Best Flea Tick Yard Kennel Spray
50,60,US,1,PetAg,7-8 USD,11-20 Medium,11-20 Medium,2025-07-11,Pet Pectillin Diarrhea Medication
51,50,US,1,,17-17 USD,11-20 Medium,11-20 Medium,2025-07-11,"Heartgard Plus Chew for Dogs, 51-100 lbs, (Brown Box), 1 Chew (1-mo. supply)"
