rank,previous_rank,ranking_country,ranking_category,brand,price_range,relative_demand,previous_relative_demand,rank_timestamp,product_title
1,7,US,922,TF Publishing,13-16 USD,51-100 Very high,21-50 High,2025-07-11,July 2025 June 2026 Medium Art Poster Wall Calendar By TF Publishing
2,,US,922,,,51-100 Very high,,2025-07-11,"Dated July 2025 Minimalist Monthly Calendar w/Holidays & Moons | Landscape Letter PDF| INSTANT DOWNLOAD | July Planner| Sunday, Monday Start"
3,4,US,922,Crayola,1-51 USD,51-100 Very high,21-50 High,2025-07-11,Crayola Crayons
4,2,US,922,Bradford Exchange,4-4 USD,51-100 Very high,51-100 Very high,2025-07-11,Bradford Exchange Checks Blue Safety Personal Checks -100 Checks
5,1,US,922,,2-2 USD,51-100 Very high,51-100 Very high,2025-07-11,"Dated June 2025 Minimalist Monthly Calendar w/Holidays & Moons | Landscape Letter PDF| INSTANT DOWNLOAD | June Planner| Sunday, Monday Start"
6,5,US,922,CVS,1-1 USD,51-100 Very high,21-50 High,2025-07-11,CVS Retro Photo Mini-Prints
7,6,US,922,,40-50 USD,51-100 Very high,21-50 High,2025-07-11,Collapsible Wagon Embark
8,8,US,922,CVS,1-1 USD,51-100 Very high,21-50 High,2025-07-11,"CVS 4""x6"" Collage Print"
9,3,US,922,,11-11 USD,51-100 Very high,51-100 Very high,2025-07-11,Blue Secure Checks
10,10,US,922,,3-3 USD,51-100 Very high,21-50 High,2025-07-11,"Address Labels Personalized Return Address Labels 2.6"" x 1"" Large Custom Name Labels Stickers Roll Printed Address Labels"
11,9,US,922,,2-2 USD,21-50 High,21-50 High,2025-07-11,"2025 Calendar | Single page | Yearly calendar | Desk calendar | wall calendar | 2025 planner | printable calendar | A4, A4, US Letter size"
12,11,US,922,The Home Depot,3-3 USD,21-50 High,21-50 High,2025-07-11,The Home Depot 26 in. L x 16 in. W x 15 in. D Large Moving Shipping and Packing Box with Handles
13,12,US,922,Mac Sports,70-88 USD,21-50 High,21-50 High,2025-07-11,Mac Sports Macsports folding wagon with tailgate and table
14,30,US,922,Dixon Ticonderoga Company,3-240 USD,21-50 High,11-20 Medium,2025-07-11,Pencils Ticonderoga
15,20,US,922,Staples,1-1 USD,21-50 High,11-20 Medium,2025-07-11,"Staples Composition Notebook 7.5"" x 9.75"
16,16,US,922,Texas Instruments,10-185 USD,21-50 High,11-20 Medium,2025-07-11,Texas Instruments TI-30XIIS Scientific Calculator
17,26,US,922,,40-40 USD,21-50 High,11-20 Medium,2025-07-11,Ozark Trail Multi-Purpose Big Bucket Cart
18,13,US,922,Checks Unlimited,6-6 USD,21-50 High,21-50 High,2025-07-11,Blue Classic Checks
19,21,US,922,Brightroom,32-32 USD,21-50 High,11-20 Medium,2025-07-11,Brightroom 3 Tier Metal Utility Cart
20,31,US,922,,1-1 USD,21-50 High,11-20 Medium,2025-07-11,Dealworthy Subject Spiral Notebook Wide Ruled
21,34,US,922,Texas Instruments,82-1969 USD,21-50 High,11-20 Medium,2025-07-11,Texas Instruments TI-84 PLUS CE Graphing Calculator
22,,US,922,Hammermill,,21-50 High,,2025-07-11,Hammermill Copy Plus Print Paper 92 Bright 20 lb
23,29,US,922,Crayola,1-1 USD,21-50 High,11-20 Medium,2025-07-11,Crayola Broad Line Markers Classic
24,22,US,922,,300-300 USD,21-50 High,11-20 Medium,2025-07-11,Skylight Calendar - 15-inch Wall Planner Digital Calendar & Chore Chart- Smart Touchscreen Interactive Display for Family Schedules – Wall Mount Inclu
25,152,US,922,,16-17 USD,21-50 High,0-5 Very low,2025-07-11,"Wall Calendar 2025-2026, Nekmit Calendar 2025-2026 from Now to July 2026, 22 3/4"" x 14 3/4"", Large Print Big Grid Wall Calendar, 18 Monthly Calendar"
26,28,US,922,,1-2 USD,21-50 High,11-20 Medium,2025-07-11,Pen+gear Large Shipping
27,246,US,922,,2-2 USD,21-50 High,0-5 Very low,2025-07-11,Dated August 2025 Minimalist Monthly Calendar Printable Letter PDF| INSTANT DOWNLOAD | August Planner | Sunday + Monday Start
28,61,US,922,up & up,5-6 USD,21-50 High,6-10 Low,2025-07-11,up&up Large Hard Sided Zipper Pencil Case
29,37,US,922,The Home Depot,20-40 USD,21-50 High,11-20 Medium,2025-07-11,The Home Depot 25 in. L x 26 in. D Heavy Duty TV Box and Picture Moving Shipping and Packing Box
30,18,US,922,,11-11 USD,21-50 High,11-20 Medium,2025-07-11,"Custom Self-Inking Stamps - 3, 4, 5, 7 Lines"
31,35,US,922,,,21-50 High,11-20 Medium,2025-07-11,"Custom Business Cards | 50 qty | VistaPrint | Design: Gray, Bold & Colorful, Auto Dealers, Mechanics & Auto Body, Auto Rental"
32,45,US,922,,,21-50 High,11-20 Medium,2025-07-11,"Custom Business Cards | 50 qty | VistaPrint | Design: Green, Clothing, Shoes, Bags & Accessories, Retail, Industry"
33,24,US,922,Uni,17-18 USD,21-50 High,11-20 Medium,2025-07-11,POSCA Paint Marker Sets
34,133,US,922,TF Publishing,20-20 USD,21-50 High,6-10 Low,2025-07-11,TF Publishing | Calendars + Planners - Journals + Stationery July 2025 June 2026 Large Art Poster Wall Calendar
35,60,US,922,,7-7 USD,21-50 High,6-10 Low,2025-07-11,Runtioval Calendar 2025-2026 18 Months Wall Calendar from July 2025 to December 2026
36,15,US,922,,51-51 USD,21-50 High,11-20 Medium,2025-07-11,Metal 4-Wheeled Outdoor Garden Cart Collapsible Folding Wagon in Blue
