rank,previous_rank,ranking_country,ranking_category,product_title_en,product_title_zh,product_title_any,brand,price_range,relative_demand,previous_relative_demand,rank_timestamp,product_title
1,4,US,142,,,Fujifilm Instax Mini 12 Instant Camera,Fujifilm,34-180 USD,51-100 Very high,51-100 Very high,2025-07-11,Fujifilm Instax Mini 12 Instant Camera
2,1,US,142,,,Fujifilm Instax Mini EVO Hybrid Instant Camera,Fujifilm,199-350 USD,51-100 Very high,51-100 Very high,2025-07-11,Fujifilm Instax Mini EVO Hybrid Instant Camera
3,2,US,142,,,Blink Outdoor 4 Wireless Security Camera,Blink,35-420 USD,21-50 High,51-100 Very high,2025-07-11,Blink Outdoor 4 Wireless Security Camera
4,7,US,142,,,Kodak PIXPRO FZ45 Friendly Zoom Digital Camera,Kodak,76-150 USD,21-50 High,51-100 Very high,2025-07-11,Kodak PIXPRO FZ45 Friendly Zoom Digital Camera
5,3,US,142,,,Kodak PIXPRO FZ55 Digital Camera,Kodak,130-209 USD,21-50 High,51-100 Very high,2025-07-11,Kodak PIXPRO FZ55 Digital Camera
6,6,US,142,,,Canon PowerShot SX740 HS Digital Camera,Canon,574-910 USD,21-50 High,51-100 Very high,2025-07-11,Canon PowerShot SX740 HS Digital Camera
7,8,US,142,,,Canon PowerShot G7 X Mark III Digital Camera,Canon,870-1699 USD,21-50 High,51-100 Very high,2025-07-11,Canon PowerShot G7 X Mark III Digital Camera
8,5,US,142,,,DJI Osmo Pocket 3 Camera,DJI,398-1375 USD,21-50 High,51-100 Very high,2025-07-11,DJI Osmo Pocket 3 Camera
9,9,US,142,,,Fujifilm QuickSnap Flash 400 Disposable Camera,Fujifilm,13-380 USD,21-50 High,21-50 High,2025-07-11,Fujifilm QuickSnap Flash 400 Disposable Camera
10,11,US,142,,,Polaroid Go Generation 2 Instant Camera,Polaroid,68-100 USD,21-50 High,21-50 High,2025-07-11,Polaroid Go Generation 2 Instant Camera
11,21,US,142,,,Google Nest Cam Outdoor Camera,Google,124-799 USD,21-50 High,21-50 High,2025-07-11,Google Nest Cam Outdoor Camera
12,13,US,142,,,Ring Indoor Cam,Ring,60-70 USD,21-50 High,21-50 High,2025-07-11,Ring Indoor Cam
13,18,US,142,,,Chamberlain myQ Smart Indoor Camera MYQ-C13AXXW,Myq,24-40 USD,21-50 High,21-50 High,2025-07-11,Chamberlain myQ Smart Indoor Camera MYQ-C13AXXW
14,15,US,142,,,Ring Floodlight Cam Wired Plus Outdoor Camera,Ring,149-420 USD,21-50 High,21-50 High,2025-07-11,Ring Floodlight Cam Wired Plus Outdoor Camera
15,12,US,142,,,Canon PowerShot G7 X Mark II Digital Camera,Canon,632-1635 USD,21-50 High,21-50 High,2025-07-11,Canon PowerShot G7 X Mark II Digital Camera
16,32,US,142,,,Canon EOS Rebel T7 DSLR Camera 18-55mm,Canon,377-714 USD,21-50 High,11-20 Medium,2025-07-11,Canon EOS Rebel T7 DSLR Camera 18-55mm
17,10,US,142,,,Blink Mini Compact Indoor Plug-in Smart Security Camera,Blink,30-50 USD,21-50 High,21-50 High,2025-07-11,Blink Mini Compact Indoor Plug-in Smart Security Camera
18,16,US,142,,,GoPro HERO13 Black,GoPro,329-750 USD,11-20 Medium,21-50 High,2025-07-11,GoPro HERO13 Black
19,14,US,142,,,Ring Spotlight Cam Plus,Ring,119-340 USD,11-20 Medium,21-50 High,2025-07-11,Ring Spotlight Cam Plus
20,19,US,142,,,Insta360 X5 Camera,Insta360,520-850 USD,11-20 Medium,21-50 High,2025-07-11,Insta360 X5 Camera
21,41,US,142,,,Wyze Cam v4 2.5K WiFi Indoor/Outdoor Smart Home Security Camera,Wyze Labs,25-106 USD,11-20 Medium,11-20 Medium,2025-07-11,Wyze Cam v4 2.5K WiFi Indoor/Outdoor Smart Home Security Camera
22,17,US,142,,,Fujifilm Instax Mini SE Instant Camera with Bonus 10 Pack Mini Film,Fujifilm,55-79 USD,11-20 Medium,21-50 High,2025-07-11,Fujifilm Instax Mini SE Instant Camera with Bonus 10 Pack Mini Film
23,22,US,142,,,Sony ZV-E10 Mirrorless Camera,Sony,648-850 USD,11-20 Medium,21-50 High,2025-07-11,Sony ZV-E10 Mirrorless Camera
24,24,US,142,,,Ring Outdoor 2K Video Cam Plus,Ring,100-100 USD,11-20 Medium,21-50 High,2025-07-11,Ring Outdoor 2K Video Cam Plus
25,30,US,142,,,Insta360 X4 Action Camera,Insta360,344-575 USD,11-20 Medium,11-20 Medium,2025-07-11,Insta360 X4 Action Camera
26,36,US,142,,,Ring Stick Up Cam Camera,Ring,58-150 USD,11-20 Medium,11-20 Medium,2025-07-11,Ring Stick Up Cam Camera
27,23,US,142,,,GEMS Retro Digital Camera,,15-15 USD,11-20 Medium,21-50 High,2025-07-11,GEMS Retro Digital Camera
28,29,US,142,,,Fujifilm QuickSnap 400 Single Use Flash Camera,Fujifilm,20-20 USD,11-20 Medium,11-20 Medium,2025-07-11,Fujifilm QuickSnap 400 Single Use Flash Camera
29,50,US,142,,,Insta360 GO 3S Action Camera,Insta360,240-455 USD,11-20 Medium,11-20 Medium,2025-07-11,Insta360 GO 3S Action Camera
30,53,US,142,,,Fujifilm X100VI Digital Camera,Fujifilm,1599-2375 USD,11-20 Medium,11-20 Medium,2025-07-11,Fujifilm X100VI Digital Camera
31,27,US,142,,,Fujifilm Instax Mini 41 Instant Film Camera,Fujifilm,99-129 USD,11-20 Medium,21-50 High,2025-07-11,Fujifilm Instax Mini 41 Instant Film Camera
32,45,US,142,,,Garmin Dash Cam Mini 3,GARMIN,125-150 USD,11-20 Medium,11-20 Medium,2025-07-11,Garmin Dash Cam Mini 3
33,39,US,142,,,Rexing DT2 Dual Channel 1080p Front and Rear Dash Cam,Rexing,90-90 USD,11-20 Medium,11-20 Medium,2025-07-11,Rexing DT2 Dual Channel 1080p Front and Rear Dash Cam
34,46,US,142,,,Wyze Cam Pan v3 Indoor/Outdoor Wired Security Camera with Pan/Tilt/Zoom,Wyze Labs,30-118 USD,11-20 Medium,11-20 Medium,2025-07-11,Wyze Cam Pan v3 Indoor/Outdoor Wired Security Camera with Pan/Tilt/Zoom
35,28,US,142,,,FUJIFILM X-M5 Mirrorless Camera,Fujifilm,799-1330 USD,11-20 Medium,11-20 Medium,2025-07-11,FUJIFILM X-M5 Mirrorless Camera
36,26,US,142,,,Google Nest Cam Indoor,Google,47-230 USD,11-20 Medium,21-50 High,2025-07-11,Google Nest Cam Indoor
37,51,US,142,,,Sony Alpha a7 IV Mirrorless Camera,Sony,1798-2900 USD,6-10 Low,11-20 Medium,2025-07-11,Sony Alpha a7 IV Mirrorless Camera
38,55,US,142,,,Canon PowerShot V1 Digital Camera,Canon,979-1064 USD,6-10 Low,11-20 Medium,2025-07-11,Canon PowerShot V1 Digital Camera
39,58,US,142,,,Camp Snap Screen Free Digital Camera,Urban Outfitters,70-70 USD,6-10 Low,11-20 Medium,2025-07-11,Camp Snap Screen Free Digital Camera
40,108,US,142,,,Eufy SoloCam S340 Solar Wireless Outdoor Security Camera,eufy,130-950 USD,6-10 Low,6-10 Low,2025-07-11,Eufy SoloCam S340 Solar Wireless Outdoor Security Camera
41,42,US,142,,,Fujifilm Instax Mini 99 Instant Film Camera,Fujifilm,199-200 USD,6-10 Low,11-20 Medium,2025-07-11,Fujifilm Instax Mini 99 Instant Film Camera
42,34,US,142,,,Spypoint Flex Cellular Trail Camera,SPYPOINT,65-150 USD,6-10 Low,11-20 Medium,2025-07-11,Spypoint Flex Cellular Trail Camera
43,77,US,142,,,Eufy S380 Security HomeBase 3,eufy,150-150 USD,6-10 Low,6-10 Low,2025-07-11,Eufy S380 Security HomeBase 3
44,38,US,142,,,Canon EOS R50 Mirrorless Camera,Canon,669-1150 USD,6-10 Low,11-20 Medium,2025-07-11,Canon EOS R50 Mirrorless Camera
